Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,0,0,0.99,1.89,-0.12,0.18
1,0,0,0.99,1.71,0.12,0.24
1,0,0,0.99,2.08,0.12,0.24
1,0,-0.02,0.99,2.44,0.37,0.18
1,0,-0.01,0.99,-0.18,1.95,0.37
1,0.01,0,0.99,-0.12,1.4,0.37
1,0.01,0,0.99,2.32,-0.37,0.18
1,0.01,-0.01,0.99,1.53,-1.34,1.16
1,0,0,0.99,2.69,-0.61,1.34
1,-0.01,-0.01,0.99,2.93,-1.34,0.98
1,0,-0.01,0.99,2.26,1.22,-0.24
1,0,0,0.99,1.65,0.98,0
1,0,-0.01,0.99,1.83,0.79,0.12
1,0,-0.01,0.99,1.65,0.06,0.49
1,0,-0.01,0.99,1.65,0.79,0.24
1,0,-0.01,0.99,1.34,0.49,-0.06
1,0,0,0.99,1.65,0.06,0.31
1,0,0,0.99,1.83,0.31,0.37
1,0,0,0.99,2.01,0.12,0.18
1,0,-0.01,0.99,1.95,0.43,0.24
1,0,-0.01,0.99,2.26,0.49,0.18
1,0,-0.01,0.99,2.14,0.55,0.31
1,0,-0.01,1,1.95,0.85,0.43
1,0,-0.01,0.99,1.4,0.37,0.31
1,0,0,0.99,1.46,0.67,0.12
1,0,-0.01,0.99,1.65,0.24,0.31
1,0,0,0.99,2.01,0.37,-0.12
1,0,-0.01,0.99,1.83,0.55,0.18
1,0,-0.01,0.99,1.89,0.31,0.31
1,0,-0.01,0.99,1.95,1.04,0.12
1,0,-0.01,0.99,1.71,0,0.31
1,0,-0.01,0.99,2.2,0.37,0.31
1,0,-0.01,0.99,2.2,0.18,0.31
1,0,-0.02,0.99,2.01,0,0.55
1,0,-0.02,0.99,1.28,0.73,0.49
1,0,-0.01,0.99,1.28,1.28,0.49
1,0.01,-0.01,0.99,1.34,1.53,0.79
1,0,0,0.98,2.2,-0.18,1.16
1,0.01,-0.02,1,3.36,0.85,0.61
1,0.01,-0.01,1,2.81,0.37,0.12
1,0,-0.01,0.99,2.75,15.5,0.18
1,0,-0.01,0.97,3.85,1.65,0.49
1,0,-0.01,0.99,1.34,1.34,0.79
1,0,-0.03,1,2.38,2.38,1.4
1,0.01,-0.01,0.99,3.05,4.39,0.85
1,0.01,-0.02,0.99,2.75,1.1,1.34
1,0.01,-0.02,0.99,3.05,0.49,0.73
1,0.01,-0.02,1,2.08,1.04,0.79
1,0.01,-0.02,0.99,1.59,0.06,0.79
1,0.01,-0.02,0.99,1.46,0.31,2.69
1,0.01,-0.02,0.99,0.92,-0.43,1.59
1,0,-0.02,0.99,1.59,0.37,1.34
1,0.01,-0.01,0.99,1.46,0.06,0.18
1,0.01,-0.02,0.99,1.65,-0.73,0.12
1,0,-0.02,0.99,0.49,-0.73,0.49
1,0.01,-0.01,0.99,0.24,0.31,1.22
1,0,-0.01,0.99,0.49,-0.61,2.75
1,0,-0.02,0.99,0.67,0.43,1.59
1,0,-0.01,0.99,0.37,2.2,-0.06
1,0.02,0,1,2.81,-0.61,0
1,0,-0.02,0.99,2.81,-0.43,-0.18
1,0.01,-0.01,0.99,0.92,2.38,0.12
1,0,-0.01,0.99,0.61,0.61,0.49
1,0.01,-0.01,0.99,1.46,1.1,0.12
1,0.01,-0.01,0.99,2.38,0.37,0.31
1,0.01,-0.01,0.99,1.89,0.85,0.18
1,0,-0.01,0.99,2.08,0.12,0.24
1,0.01,-0.01,0.99,1.89,0.31,0.31
1,0.01,-0.01,0.99,-0.61,-2.5,0.18
1,0,-0.02,1,1.53,-0.49,0.24
1,0.01,-0.01,1,1.89,0.18,0.43
1,0,-0.01,0.98,2.01,0.43,0
1,0,-0.01,0.99,1.34,0.49,0.12
1,0.01,-0.02,1,1.4,0,-0.06
1,0,0,0.99,2.2,-5.62,0.67
1,0,-0.02,1,0.49,1.04,1.28
1,0,0.01,0.99,1.95,1.04,4.82
1,0.01,-0.05,0.97,-0.61,-1.46,-2.87
1,0.01,0.02,1,2.32,-1.22,0
1,-0.01,-0.01,0.99,3.48,-1.4,-0.55
1,0,-0.01,0.99,3.48,1.77,-0.85
1,-0.02,-0.05,0.99,2.2,1.71,-1.46
1,-0.01,-0.03,1,2.56,1.04,-0.31
1,0,0,0.99,2.99,0.61,0.73
1,0.01,0,1,2.5,2.14,-0.06
1,0.01,0.03,0.99,-1.89,3.54,6.9
1,-0.01,-0.02,0.99,1.16,3.85,9.4
1,-0.01,0.01,1,-2.62,0.92,2.26
1,0,-0.02,1.02,-0.67,1.95,1.95
1,0.01,0.01,1,-1.59,-2.87,4.7
1,-0.06,0.03,1.01,-2.69,-6.53,-4.09
1,-0.05,0,0.99,0.85,-5.74,-9.03
1,-0.04,0.01,0.98,3.17,-3.11,0.37
1,-0.04,0.01,0.99,3.36,-0.98,1.28
1,-0.04,0.04,0.99,2.93,-1.65,7.26
1,-0.03,0.01,1,-1.28,8.85,-1.83
1,-0.02,0.02,0.98,-2.62,6.1,16.11
1,0.03,-0.01,1,3.85,3.36,16.11
1,0.02,-0.01,1.04,2.38,3.91,-3.42
1,0,0.02,0.99,3.3,-0.73,11.84
1,-0.05,0,0.98,2.81,2.01,1.53
1,-0.02,0,0.98,7.2,-1.77,2.99
1,0.03,0.01,0.99,2.62,0.85,0.06
1,0.03,0.03,0.98,5.25,0.73,0.61
1,0.04,0,0.99,2.75,0.73,3.05
1,0.02,0.02,0.99,5.19,2.75,5.62
1,0.02,0.02,0.99,2.14,3.85,5.92
1,0.03,-0.03,1,3.54,5.19,5.19
1,0.03,-0.02,0.99,0.06,3.3,4.33
1,0.05,-0.01,0.98,2.93,5.19,-5.74
1,0.04,-0.04,0.98,5.92,1.89,4.88
1,0.03,-0.03,1,7.69,5,-6.04
1,0.04,-0.05,1.01,3.85,1.04,-2.38
1,0.02,-0.04,1,9.22,1.22,-5.31
1,-0.03,-0.05,1,6.77,0.37,-3.3
1,0.05,-0.06,0.99,2.87,-2.26,-3.54
1,0.04,-0.06,0.99,-1.22,-2.5,-5
1,0.03,-0.04,0.97,1.16,-2.32,-2.56
1,-0.03,-0.07,1.01,3.72,0.85,-9.58
1,0.01,-0.03,0.93,-13.98,-4.82,-11.6
1,0,-0.06,0.99,1.4,-2.44,0.67
1,-0.03,-0.02,0.96,3.36,3.97,10.68
1,-0.02,-0.03,0.97,0.18,0.31,10.31
1,-0.01,-0.04,0.98,2.69,-1.53,1.59
1,-0.03,0,0.99,-0.49,-2.69,2.38
1,-0.02,-0.02,0.99,-1.65,-3.42,-0.67
1,-0.02,-0.02,0.99,-2.2,-1.77,-1.04
1,-0.02,-0.02,0.98,-0.85,-2.2,-2.26
1,0.03,-0.02,0.98,-1.59,-1.04,-3.3
1,0,-0.04,1,-0.43,-0.73,-3.78
1,-0.02,-0.02,0.99,-1.22,-0.92,-4.39
1,0,-0.01,0.99,-0.31,-0.18,-1.53
1,-0.03,-0.01,0.99,0.55,-2.01,-0.73
1,-0.05,0.02,1,1.28,-0.37,-1.95
1,-0.04,-0.01,0.99,1.28,0.55,-4.52
1,-0.03,-0.03,0.99,1.89,-1.28,-4.21
1,-0.03,-0.03,0.99,0.18,-1.04,2.2
1,-0.04,-0.01,0.98,0.49,-0.24,2.81
1,-0.04,0,0.99,0.98,0.06,-2.38
1,-0.02,0.06,0.98,1.04,1.16,-4.03
1,-0.03,0,0.98,-0.18,0.79,-0.49
1,-0.03,0.01,0.98,0.06,1.71,-1.16
1,-0.03,0,1,-0.49,0.12,2.14
1,-0.03,0.03,0.99,-0.79,0.79,0.67
1,-0.02,0.04,0.99,0.06,1.1,2.5
1,-0.02,0.04,0.99,-0.67,0.31,0.12
1,-0.03,0.02,0.99,0.24,0.43,3.97
1,-0.02,0.04,1,1.28,2.14,2.2
1,-0.02,0.01,0.98,2.93,3.85,-2.08
1,0.01,0.04,0.99,2.44,2.56,1.04
1,0,0.05,0.99,2.32,1.46,0.12
1,-0.05,-0.04,1.02,5.13,4.82,11.66
1,-0.06,0.01,0.99,2.08,1.4,3.72
1,-0.01,0.01,0.99,2.56,1.4,0.12
1,-0.03,0.02,0.98,1.77,-0.55,1.77
1,0.01,0.02,0.99,2.01,1.1,-1.89
1,0.05,0.04,0.99,1.22,-0.55,-0.55
1,0.05,0.03,0.99,1.59,-2.38,4.27
1,0.02,0,1,2.56,-1.53,6.59
1,-0.03,0.01,0.98,1.46,-1.4,3.78
1,-0.02,-0.04,0.97,2.26,1.28,2.44
1,0.07,0.02,0.98,1.4,2.87,1.4
1,-0.03,0,0.98,1.59,2.62,-2.08
1,-0.03,0.02,0.99,1.71,2.14,-2.81
1,-0.02,0,0.99,3.11,2.08,-3.17
1,-0.04,0.02,0.99,2.2,2.81,-4.58
1,-0.02,0.02,0.98,2.62,3.54,-2.2
1,0.07,0,1,2.87,1.59,1.22
1,0,0.01,0.99,1.59,0,4.09
1,0.03,-0.01,0.99,1.71,0.43,0.18
1,0.02,-0.01,0.99,2.14,0.49,-1.28
1,0.05,-0.04,1,2.81,1.1,0.55
1,-0.06,0.04,0.98,4.52,-0.12,1.04
1,-0.01,-0.02,0.99,4.15,-1.59,2.56
1,-0.01,-0.01,0.98,4.52,-2.5,3.17
1,-0.01,0,0.99,3.66,-2.32,2.69
1,-0.03,-0.01,0.97,2.87,-0.85,3.6
1,-0.02,0,1,4.15,-1.28,2.44
1,-0.02,-0.01,0.99,3.48,-1.04,0.49
1,-0.03,-0.03,1,0.85,0.79,0.43
1,-0.16,0.19,0.91,0.98,-0.61,-2.2
1,-0.01,0,1,0.92,1.71,-0.79
1,-0.03,-0.01,0.99,2.75,-1.59,0.55
1,-0.02,-0.04,0.99,1.77,0.31,0.37
1,-0.02,-0.05,0.99,2.01,-0.12,1.89
1,-0.02,-0.03,0.99,0.37,1.83,1.34
1,-0.01,-0.04,0.99,-0.24,0.73,0.55
1,-0.02,-0.01,0.99,-1.65,0.85,0.24
1,-0.01,0,0.99,-4.52,-1.28,1.95
1,-0.02,0,0.99,-7.63,-4.58,2.75
1,-0.03,0,0.99,-7.81,-4.39,6.35
1,-0.03,0.03,0.99,-3.48,-0.98,2.62
1,-0.04,0.02,0.98,-8.91,1.95,0.49
1,-0.03,0.02,1.04,-18.68,6.35,3.85
1,-0.03,0.08,0.96,-48.65,3.72,8.79
1,-0.04,0.14,0.98,-19.59,-6.41,6.53
